file,c,g1_amplitude,g1_center,g1_fwhm,g1_height,g1_sigma,l1_amplitude,l1_center,l1_fwhm,l1_height,l1_sigma,l2_amplitude,l2_center,l2_fwhm,l2_height,l2_sigma
S1_103,9.98641,334.94944,2.35551,0.02847,11053.7976,0.01209,40.18905,2.36081,0.01725,1483.34613,0.00862,86.83649,2.3493,0.02215,2495.53846,0.01108
S1_113,9.99726,310.96167,2.35604,0.02902,10067.92275,0.01232,56.08266,2.36147,0.02247,1588.67729,0.01124,56.40142,2.35002,0.02067,1736.98787,0.01034
S1_123,9.97506,282.95927,2.35711,0.02986,8902.13073,0.01268,61.99033,2.36203,0.02399,1644.90161,0.012,49.48371,2.35047,0.01989,1584.01291,0.00994
S1_133,9.99703,269.52733,2.35788,0.03119,8119.04716,0.01324,69.70816,2.36074,0.0241,1841.46152,0.01205,33.73354,2.35012,0.01733,1239.19183,0.00867
S1_143,9.99517,249.15012,2.35851,0.03234,7237.85969,0.01373,69.65095,2.36145,0.02315,1915.78812,0.01157,31.31316,2.35074,0.017,1172.91062,0.0085
S1_153,9.97526,237.49556,2.35931,0.03306,6749.65543,0.01404,48.54059,2.36327,0.02564,1205.44302,0.01282,46.68879,2.35305,0.02211,1344.58877,0.01105
S1_163,9.7421,229.77344,2.35939,0.0332,6500.92069,0.0141,49.89975,2.35739,0.02856,1112.40827,0.01428,36.92501,2.36732,0.04228,556.00501,0.02114
S1_173,9.9816,204.8105,2.3595,0.03446,5583.14983,0.01463,40.47023,2.35578,0.02783,925.75891,0.01392,54.2865,2.36559,0.03546,974.64325,0.01773
S1_183,9.9966,191.76189,2.36019,0.03566,5051.85078,0.01514,89.12879,2.36019,0.03694,1535.8368,0.01847,0.27435,2.32789,0.0,75837862.69095,0.0
S1_193,9.93963,184.61899,2.36037,0.03736,4641.73821,0.01587,81.68185,2.35943,0.03544,1467.38441,0.01772,10.5825,2.38753,0.06239,107.98157,0.0312
S1_213,9.99682,168.85186,2.36086,0.04192,3783.57106,0.0178,77.72175,2.35749,0.03226,1533.88477,0.01613,49.05946,2.36824,0.03375,925.51794,0.01687
S1_223,9.99863,204.80673,2.36118,0.04387,4385.35729,0.01863,121.39122,2.36395,0.03558,2171.88041,0.01779,15.99108,2.35174,0.02073,491.04756,0.01037
S1_233,9.99646,229.41871,2.36244,0.04613,4672.16646,0.01959,123.10188,2.36505,0.03503,2237.01735,0.01752,40.89387,2.35242,0.02772,939.26873,0.01386
S1_243,0.00467,275.04574,2.36319,0.04786,5398.61334,0.02033,142.80958,2.36107,0.03788,2400.08766,0.01894,447.32097,2.48,11.57932,24.59328,5.78966
S1_253,9.99992,222.61046,2.3632,0.04721,4429.41156,0.02005,145.28126,2.36177,0.04385,2109.30297,0.02192,93.98136,2.28002,35.06793,1.70613,17.53397
S1_283,9.99765,37.241,2.36021,0.04204,832.15704,0.01785,67.80046,2.35852,0.05522,781.58723,0.02761,34.63301,2.36986,0.05597,393.95848,0.02798
S1_83,0.02516,415.56905,2.35434,0.02773,14076.48075,0.01178,53.74639,2.34875,0.02871,1191.81039,0.01435,38.68497,2.35564,0.0272,905.43321,0.0136
S1_93,9.99687,364.53741,2.35486,0.02758,12414.96079,0.01171,25.74183,2.36029,0.01473,1112.54189,0.00737,123.31677,2.34806,0.02519,3116.82566,0.01259
