Energy (eV), initial Intensity (a.u.), Intensity (a.u.)
3.196370572768985063e+00,2.879999999999999921e-02,1.508389693631181959e-03
3.192091849868712305e+00,2.439999999999999808e-02,1.530799899758310831e-03
3.187906522353908922e+00,2.419999999999999929e-02,1.553207143340933549e-03
3.183650414644791926e+00,1.899999999999999953e-02,1.576501139359577164e-03
3.179405656265223978e+00,1.140000000000000041e-02,1.600258327360698681e-03
3.175172201879497447e+00,2.900000000000000147e-02,1.624490597499518747e-03
3.170950006393044251e+00,3.440000000000000002e-02,1.649210218065519764e-03
3.166819899887629131e+00,2.239999999999999977e-02,1.673940060919337780e-03
3.162619873495205347e+00,5.999999999999979959e-04,1.699662779663877951e-03
3.158430973000509123e+00,-4.000000000000000083e-03,1.725911806292425082e-03
3.154253154253154001e+00,-2.380000000000000171e-02,1.752701063689408303e-03
3.150166399918705284e+00,-4.200000000000000608e-03,1.779513765771533352e-03
3.146010402131168338e+00,2.179999999999999993e-02,1.807416003337348033e-03
3.141865355866926723e+00,5.079999999999999793e-02,1.835902752613603533e-03
3.137731217895189495e+00,5.220000000000000334e-02,1.864989863856175885e-03
3.133687136719737421e+00,3.180000000000000188e-02,1.894116571661847142e-03
3.129574478824895145e+00,2.400000000000000050e-02,1.924441762064852020e-03
3.125472601703886522e+00,2.999999999999999889e-02,1.955417808505485310e-03
3.121460037759597128e+00,4.200000000000000261e-02,1.986447833016796727e-03
3.117379390099806358e+00,4.299999999999999656e-02,2.018767123241909604e-03
3.113309397675060541e+00,5.059999999999999915e-02,2.051793103412889036e-03
3.109327983951855501e+00,4.060000000000000414e-02,2.084889745843837572e-03
3.105278974256235447e+00,1.680000000000000243e-02,2.119375370283706640e-03
3.101240496198479413e+00,-4.599999999999999922e-03,2.154629545171055788e-03
3.097289871362557623e+00,6.599999999999999964e-03,2.189973736410584428e-03
3.093272133110484656e+00,4.200000000000000608e-03,2.226816652274963594e-03
3.089264804803308451e+00,-8.800000000000000530e-03,2.264496797243264851e-03
3.085344613087833032e+00,-8.199999999999998956e-03,2.302289413941832532e-03
3.081357785398339821e+00,-8.600000000000000006e-03,2.341701778475468836e-03
3.077381247828460786e+00,-5.000000000000000104e-03,2.382027783923292702e-03
3.073491138926756960e+00,-1.340000000000000045e-02,2.422492325850606528e-03
3.069534866450478905e+00,-8.400000000000001216e-03,2.464710362784168756e-03
3.065588766100521667e+00,-2.000000000000000042e-03,2.507927246470379769e-03
3.061728395061728225e+00,-3.399999999999999811e-03,2.551312940834385250e-03
3.057802327875320803e+00,-2.960000000000000131e-02,2.596600267375613960e-03
3.053886316619052188e+00,-2.000000000000000042e-02,2.642981674411691833e-03
3.050055343746156389e+00,-1.499999999999999944e-02,2.689567086559108752e-03
3.046159137249121684e+00,-3.260000000000000397e-02,2.738218587250834061e-03
3.042347514598361169e+00,-2.360000000000000292e-02,2.787100609947904505e-03
3.038470962999264557e+00,-3.219999999999999946e-02,2.838168116799540380e-03
3.034604277813127027e+00,-2.419999999999999929e-02,2.890514469188841268e-03
3.030821499278957720e+00,-2.400000000000000050e-02,2.943136678808101585e-03
3.026974246307823968e+00,-3.139999999999999736e-02,2.998141142682390382e-03
3.023210454456797258e+00,-2.280000000000000082e-02,3.053455684671265054e-03
3.019382487581571795e+00,-9.199999999999999845e-03,3.111295842452955519e-03
3.015564202334630295e+00,-4.799999999999999580e-03,3.170639737258689264e-03
3.011828714386340256e+00,1.559999999999999928e-02,3.230352342662243335e-03
3.008029498095722953e+00,3.540000000000000091e-02,3.292827715177293162e-03
3.004312642341425477e+00,2.220000000000000098e-02,3.355716160099218512e-03
3.000532352514155843e+00,2.900000000000000147e-02,3.421540817495053247e-03
2.996833989897769612e+00,3.339999999999999913e-02,3.487827824772017377e-03
2.993072485457046739e+00,2.599999999999999881e-02,3.557238617540476981e-03
2.989392478302796530e+00,3.320000000000000034e-02,3.627166549257120499e-03
2.985649619570451829e+00,2.619999999999999760e-02,3.700421392742976340e-03
2.981916121585225454e+00,3.620000000000000301e-02,3.775722201161804681e-03
2.978263480244986106e+00,3.360000000000000486e-02,3.851634503341918973e-03
2.974548420370858981e+00,4.860000000000000431e-02,3.931212279421088598e-03
2.970913795581963779e+00,4.139999999999999930e-02,4.011473329113572107e-03
2.967217037568796734e+00,3.820000000000000479e-02,4.095649394953338948e-03
2.963600296360029418e+00,5.199999999999999761e-02,4.180588846831201355e-03
2.959921705296827632e+00,5.539999999999999786e-02,4.269714941283427045e-03
2.956322716002288686e+00,6.279999999999999472e-02,4.359693945238508547e-03
2.952662158300790818e+00,8.100000000000000255e-02,4.454155727478023574e-03
2.949080790543915143e+00,8.880000000000000393e-02,4.549570591097870480e-03
2.945438133922420931e+00,8.079999999999999682e-02,4.649791623222442744e-03
2.941874258600237102e+00,7.520000000000000295e-02,4.751077979959883457e-03
2.938318997180161762e+00,5.840000000000000052e-02,4.855446202270494865e-03
2.934702861335289903e+00,4.779999999999999527e-02,4.965161829425085091e-03
2.931164901664145006e+00,4.399999999999999745e-02,5.076136749919443573e-03
2.927566342430824253e+00,2.060000000000000026e-02,5.192865001746452443e-03
2.924045558516282561e+00,2.079999999999999905e-02,5.311002628729166383e-03
2.920464448055771545e+00,1.939999999999999711e-02,5.435339677800518805e-03
2.916960715125852754e+00,1.060000000000000005e-02,5.561255201993449068e-03
2.913396926836144818e+00,-7.000000000000000146e-03,5.693861347183431024e-03
2.909910121324478460e+00,4.799999999999999580e-03,5.828236836339366345e-03
2.906431651978248709e+00,4.200000000000000608e-03,5.967076655865832975e-03
2.902893529356681324e+00,4.000000000000040307e-04,6.113438217355413734e-03
2.899431804896298370e+00,2.479999999999999913e-02,6.261902223972470524e-03
2.895910693850860529e+00,3.839999999999999664e-02,6.418518395385449868e-03
2.892465593655237033e+00,5.000000000000000278e-02,6.577497407887451103e-03
2.888961371790689903e+00,3.720000000000000390e-02,6.745328066125770745e-03
2.885532776394480248e+00,3.060000000000000220e-02,6.915817570388837175e-03
2.882112309408702000e+00,1.660000000000000017e-02,7.092411143632863270e-03
2.878633113566719359e+00,1.559999999999999928e-02,7.279051927964012847e-03
2.875228974888121236e+00,2.500000000000000139e-02,7.468873083614803454e-03
2.871832877854463284e+00,2.560000000000000123e-02,7.665725451141771479e-03
2.868378440897524584e+00,-2.000000000000000042e-03,7.874034808522485315e-03
2.864998498186271281e+00,-4.000000000000000083e-03,8.086161934628069078e-03
2.861560473542104077e+00,3.599999999999999901e-03,8.310832153859755433e-03
2.858196570164115879e+00,1.400000000000000029e-02,8.539825873323199368e-03
2.854840566363531451e+00,3.160000000000000309e-02,8.777824147149448919e-03
2.851426863200496875e+00,3.820000000000000479e-02,9.030247774663158200e-03
2.848086728834581471e+00,3.540000000000000091e-02,9.287898035560064602e-03
2.844754410516414644e+00,3.820000000000000479e-02,9.556070167933413545e-03
2.841364771659677491e+00,2.179999999999999993e-02,9.840926628871465159e-03
2.838048155268698913e+00,1.720000000000000001e-02,1.013213279219073691e-02
2.834739272569325230e+00,3.799999999999999906e-02,1.043571024173835932e-02
2.831373444457129906e+00,3.360000000000000486e-02,1.075870397030881213e-02
2.828080098526661423e+00,2.380000000000000171e-02,1.108945473056539149e-02
2.824794405084629645e+00,1.680000000000000243e-02,1.143484977093639846e-02
