T,I
8.300000000000000000e+01,2.237102623001004977e+05
9.300000000000000000e+01,2.267004542143823928e+05
1.030000000000000000e+02,2.049509691676035873e+05
1.130000000000000000e+02,1.868731259023278253e+05
1.230000000000000000e+02,1.740831185629633255e+05
1.330000000000000000e+02,1.642571917434679926e+05
1.430000000000000000e+02,1.543182166905489867e+05
1.530000000000000000e+02,1.486594074926916801e+05
1.630000000000000000e+02,1.381231428149336716e+05
1.730000000000000000e+02,1.312987053539640619e+05
1.830000000000000000e+02,1.315037005613044894e+05
1.930000000000000000e+02,1.207041507935663976e+05
2.030000000000000000e+02,1.202910845319564833e+05
2.130000000000000000e+02,1.283093380426216463e+05
2.230000000000000000e+02,1.485471381673627475e+05
2.330000000000000000e+02,1.704364321674573002e+05
2.430000000000000000e+02,1.827681950428278651e+05
2.530000000000000000e+02,1.586835861319994146e+05
2.630000000000000000e+02,9.201863768538064323e+04
2.730000000000000000e+02,7.419228033995148144e+04
2.830000000000000000e+02,5.924266972374683974e+04
2.930000000000000000e+02,4.639887424110064603e+04
2.980000000000000000e+02,3.759355821379668487e+04
