Energy (eV), initial Intensity (a.u.), Intensity (a.u.)
3.196370572768985063e+00,-3.839999999999998970e-02,7.044483645546211793e-04
3.192091849868712305e+00,-4.099999999999999478e-02,7.152683199477099510e-04
3.187906522353908922e+00,-3.739999999999998881e-02,7.260944216162322062e-04
3.183650414644791926e+00,-3.139999999999999736e-02,7.373569250676623296e-04
3.179405656265223978e+00,-7.199999999999993731e-03,7.488516737126789911e-04
3.175172201879497447e+00,-2.000000000000010667e-04,7.605848443522497063e-04
3.170950006393044251e+00,-2.000000000000028556e-04,7.725628168386281707e-04
3.166819899887629131e+00,-2.800000000000000839e-03,7.845545891487115025e-04
3.162619873495205347e+00,-5.799999999999996131e-03,7.970371262537444441e-04
3.158430973000509123e+00,-1.120000000000000162e-02,8.097847670926777057e-04
3.154253154253154001e+00,-1.339999999999999698e-02,8.228047825553153668e-04
3.150166399918705284e+00,-1.680000000000000243e-02,8.358462351513914210e-04
3.146010402131168338e+00,-1.179999999999999799e-02,8.494282018269867091e-04
3.141865355866926723e+00,-4.999999999999998369e-03,8.633057184650188990e-04
3.137731217895189495e+00,-1.379999999999999630e-02,8.774870986617430918e-04
3.133687136719737421e+00,-1.080000000000000404e-02,8.916992157800433848e-04
3.129574478824895145e+00,7.400000000000003797e-03,9.065081667761988506e-04
3.125472601703886522e+00,1.099999999999999936e-02,9.216475259497732562e-04
3.121460037759597128e+00,1.519999999999999997e-02,9.368258861752656180e-04
3.117379390099806358e+00,2.279999999999999735e-02,9.526481955781865166e-04
3.113309397675060541e+00,1.199999999999986451e-03,9.688303654693115581e-04
3.109327983951855501e+00,9.799999999999997949e-03,9.850611125055666779e-04
3.105278974256235447e+00,5.399999999999994214e-03,1.001987741449551685e-03
3.101240496198479413e+00,-1.780000000000000332e-02,1.019306976780142218e-03
3.097289871362557623e+00,-4.220000000000000140e-02,1.036685889450498577e-03
3.093272133110484656e+00,-5.140000000000000124e-02,1.054818044119842663e-03
3.089264804803308451e+00,-7.159999999999999698e-02,1.073379291038310378e-03
3.085344613087833032e+00,-6.679999999999998439e-02,1.092013089421371751e-03
3.081357785398339821e+00,-7.139999999999999125e-02,1.111463619715993617e-03
3.077381247828460786e+00,-7.520000000000000295e-02,1.131383985921414299e-03
3.073491138926756960e+00,-4.819999999999999285e-02,1.151391846635454325e-03
3.069534866450478905e+00,-4.839999999999999164e-02,1.172286870406097706e-03
3.065588766100521667e+00,-3.799999999999999212e-02,1.193697334091854516e-03
3.061728395061728225e+00,-2.299999999999999961e-02,1.215212653520091578e-03
3.057802327875320803e+00,-5.399999999999999419e-03,1.237693448512346833e-03
3.053886316619052188e+00,9.799999999999999684e-03,1.260740851070309056e-03
3.050055343746156389e+00,2.819999999999999937e-02,1.283913303524975144e-03
3.046159137249121684e+00,3.219999999999999946e-02,1.308138518149659386e-03
3.042347514598361169e+00,2.759999999999999953e-02,1.332504007629907320e-03
3.038470962999264557e+00,2.179999999999999646e-02,1.357985843205442890e-03
3.034604277813127027e+00,2.100000000000000130e-02,1.384134088385516976e-03
3.030821499278957720e+00,1.839999999999999969e-02,1.410448659795326791e-03
3.026974246307823968e+00,1.760000000000000453e-02,1.437984732183640764e-03
3.023210454456797258e+00,3.100000000000000672e-02,1.465706814188657680e-03
3.019382487581571795e+00,4.240000000000000713e-02,1.494727278684197412e-03
3.015564202334630295e+00,3.679999999999999938e-02,1.524536454172130406e-03
3.011828714386340256e+00,1.959999999999999937e-02,1.554565401365516067e-03
3.008029498095722953e+00,6.600000000000001699e-03,1.586020369866423130e-03
3.004312642341425477e+00,-6.000000000000004895e-04,1.617720685409304625e-03
3.000532352514155843e+00,1.640000000000000485e-02,1.650940711950159680e-03
2.996833989897769612e+00,3.200000000000001021e-03,1.684434524493376092e-03
2.993072485457046739e+00,1.000000000000001756e-03,1.719549668461903789e-03
2.989392478302796530e+00,1.800000000000001902e-03,1.754970253062515615e-03
