Energy (eV), initial Intensity (a.u.), Intensity (a.u.)
3.196370572768985063e+00,-3.839999999999998970e-02,7.070405831193375722e-04
3.192091849868712305e+00,-4.099999999999999478e-02,7.178998139453623148e-04
3.187906522353908922e+00,-3.739999999999998881e-02,7.287651968919181674e-04
3.183650414644791926e+00,-3.139999999999999736e-02,7.400685475734156225e-04
3.179405656265223978e+00,-7.199999999999993731e-03,7.516049673773647459e-04
3.175172201879497447e+00,-2.000000000000010667e-04,7.633806543528704174e-04
3.170950006393044251e+00,-2.000000000000028556e-04,7.754020102709469758e-04
3.166819899887629131e+00,-2.800000000000000839e-03,7.874371957817729445e-04
3.162619873495205347e+00,-5.799999999999996131e-03,7.999649012915627721e-04
3.158430973000509123e+00,-1.120000000000000162e-02,8.127586471959426847e-04
3.154253154253154001e+00,-1.339999999999999698e-02,8.258257292316170152e-04
3.150166399918705284e+00,-1.680000000000000243e-02,8.389143019781998903e-04
3.146010402131168338e+00,-1.179999999999999799e-02,8.525453162899871654e-04
3.141865355866926723e+00,-4.999999999999998369e-03,8.664729210400444383e-04
3.137731217895189495e+00,-1.379999999999999630e-02,8.807054580693190939e-04
3.133687136719737421e+00,-1.080000000000000404e-02,8.949688144840415183e-04
3.129574478824895145e+00,7.400000000000003797e-03,9.098311262897955127e-04
3.125472601703886522e+00,1.099999999999999936e-02,9.250250048906179679e-04
3.121460037759597128e+00,1.519999999999999997e-02,9.402579925745736464e-04
3.117379390099806358e+00,2.279999999999999735e-02,9.561372124715239061e-04
3.113309397675060541e+00,1.199999999999986451e-03,9.723775507244786795e-04
3.109327983951855501e+00,9.799999999999997949e-03,9.886666036582458100e-04
3.105278974256235447e+00,5.399999999999994214e-03,1.005653998760491861e-03
3.101240496198479413e+00,-1.780000000000000332e-02,1.023035367879072954e-03
3.097289871362557623e+00,-4.220000000000000140e-02,1.040476585911410566e-03
3.093272133110484656e+00,-5.140000000000000124e-02,1.058673700988649715e-03
3.089264804803308451e+00,-7.159999999999999698e-02,1.077301397542875265e-03
3.085344613087833032e+00,-6.679999999999998439e-02,1.096001856400968897e-03
3.081357785398339821e+00,-7.139999999999999125e-02,1.115521916675989850e-03
3.077381247828460786e+00,-7.520000000000000295e-02,1.135513437040676105e-03
3.073491138926756960e+00,-4.819999999999999285e-02,1.155592708051773453e-03
3.069534866450478905e+00,-4.839999999999999164e-02,1.176562248170312129e-03
3.065588766100521667e+00,-3.799999999999999212e-02,1.198049002426777605e-03
3.061728395061728225e+00,-2.299999999999999961e-02,1.219640920834414496e-03
3.057802327875320803e+00,-5.399999999999999419e-03,1.242201682244734083e-03
3.053886316619052188e+00,9.799999999999999684e-03,1.265330992580580068e-03
3.050055343746156389e+00,2.819999999999999937e-02,1.288585721560494375e-03
3.046159137249121684e+00,3.219999999999999946e-02,1.312896869535541905e-03
3.042347514598361169e+00,2.759999999999999953e-02,1.337348706291259775e-03
3.038470962999264557e+00,2.179999999999999646e-02,1.362920755511266499e-03
3.034604277813127027e+00,2.100000000000000130e-02,1.389161478199090437e-03
3.030821499278957720e+00,1.839999999999999969e-02,1.415569017750967998e-03
3.026974246307823968e+00,1.760000000000000453e-02,1.443202268933060483e-03
3.023210454456797258e+00,3.100000000000000672e-02,1.471022077849487054e-03
3.019382487581571795e+00,4.240000000000000713e-02,1.500144729887238236e-03
3.015564202334630295e+00,3.679999999999999938e-02,1.530058746085159738e-03
3.011828714386340256e+00,1.959999999999999937e-02,1.560193179803374963e-03
3.008029498095722953e+00,6.600000000000001699e-03,1.591758507340279138e-03
3.004312642341425477e+00,-6.000000000000004895e-04,1.623569901019761459e-03
3.000532352514155843e+00,1.640000000000000485e-02,1.656906178116620935e-03
2.996833989897769612e+00,3.200000000000001021e-03,1.690517041113506150e-03
2.993072485457046739e+00,1.000000000000001756e-03,1.725754730998486268e-03
2.989392478302796530e+00,1.800000000000001902e-03,1.761298750523929580e-03
2.985649619570451829e+00,-1.199999999999999678e-02,1.798580320725884363e-03
2.981916121585225454e+00,-2.460000000000000381e-02,1.836952043824345180e-03
2.978263480244986106e+00,-2.339999999999999719e-02,1.875684841995520907e-03
2.974548420370858981e+00,8.000000000000041583e-04,1.916340438553158082e-03
2.970913795581963779e+00,1.119999999999999989e-02,1.957398817979108009e-03
2.967217037568796734e+00,1.779999999999999638e-02,2.000517049236176601e-03
2.963600296360029418e+00,2.079999999999999905e-02,2.044084668634479213e-03
2.959921705296827632e+00,2.899999999999999453e-02,2.089861776708265562e-03
2.956322716002288686e+00,3.119999999999999510e-02,2.136140416102164791e-03
2.952662158300790818e+00,3.339999999999999913e-02,2.184792181538931528e-03
2.949080790543915143e+00,4.860000000000000431e-02,2.234003894228329869e-03
