Temperature (K), Integrated Intensity
8.300000000000000000e+01,4.377644166666667047e+02
9.300000000000000000e+01,4.534467833333333147e+02
1.030000000000000000e+02,4.098699499999999603e+02
1.130000000000000000e+02,3.757404166666666470e+02
1.230000000000000000e+02,3.501250833333332366e+02
1.330000000000000000e+02,3.320280999999999381e+02
1.430000000000000000e+02,3.120169833333333145e+02
1.530000000000000000e+02,2.973399333333333061e+02
1.630000000000000000e+02,2.785425499999999488e+02
1.730000000000000000e+02,2.636253499999999690e+02
1.830000000000000000e+02,2.469673166666666475e+02
1.930000000000000000e+02,2.429341333333333068e+02
2.030000000000000000e+02,2.408705999999999960e+02
2.130000000000000000e+02,2.582001999999999953e+02
2.230000000000000000e+02,2.984937166666666712e+02
2.330000000000000000e+02,3.419333833333333246e+02
2.430000000000000000e+02,3.662579666666665617e+02
2.530000000000000000e+02,3.177240666666667153e+02
2.630000000000000000e+02,1.839929166666666447e+02
2.730000000000000000e+02,1.483596500000000162e+02
2.830000000000000000e+02,1.184864166666666563e+02
2.930000000000000000e+02,9.279273333333331664e+01
