Temperature (K), Peak Energy (eV)
8.300000000000000000e+01,2.354111778880546346e+00
9.300000000000000000e+01,2.354127481618157880e+00
1.030000000000000000e+02,2.355075794225835573e+00
1.130000000000000000e+02,2.355925804389294331e+00
1.230000000000000000e+02,2.356933705015602953e+00
1.330000000000000000e+02,2.357576132917177603e+00
1.430000000000000000e+02,2.358251786142732342e+00
1.530000000000000000e+02,2.358931440480486863e+00
1.630000000000000000e+02,2.359475000403317146e+00
1.730000000000000000e+02,2.359708122770949323e+00
1.830000000000000000e+02,2.360170719866796496e+00
1.930000000000000000e+02,2.360298549724847206e+00
2.030000000000000000e+02,2.360621261509691315e+00
2.130000000000000000e+02,2.361041483026669496e+00
2.230000000000000000e+02,2.361423140647302077e+00
2.330000000000000000e+02,2.362078627924284469e+00
2.430000000000000000e+02,2.362563349368882015e+00
2.530000000000000000e+02,2.362803882173351688e+00
2.630000000000000000e+02,2.362074515415837350e+00
2.730000000000000000e+02,2.361679169719069993e+00
2.830000000000000000e+02,2.361123275596908933e+00
2.930000000000000000e+02,2.361755555577341958e+00
2.980000000000000000e+02,2.360420710528967181e+00
