Temperature (K), Peak Energy (eV)
8.300000000000000000e+01,2.354111778880546346e+00
9.300000000000000000e+01,2.354127481618157880e+00
1.030000000000000000e+02,2.355075794225835573e+00
1.130000000000000000e+02,2.355925804389294331e+00
1.230000000000000000e+02,2.356933705015602953e+00
1.330000000000000000e+02,2.357576132917177603e+00
1.430000000000000000e+02,2.358251786142732342e+00
1.530000000000000000e+02,2.358931440480486863e+00
1.630000000000000000e+02,2.359475000403317146e+00
1.730000000000000000e+02,2.359708122770949323e+00
1.830000000000000000e+02,2.360170719866796496e+00
1.930000000000000000e+02,2.360298549724847206e+00
