Temperature (K), Peak Energy (eV)
1.630000000000000000e+02,2.356423208827411742e+00
1.730000000000000000e+02,2.356505236312085305e+00
1.830000000000000000e+02,2.356464999105803759e+00
1.930000000000000000e+02,2.356465442616972439e+00
2.030000000000000000e+02,2.356227797932217261e+00
2.130000000000000000e+02,2.356132545337549900e+00
2.230000000000000000e+02,2.356225778599120080e+00
2.330000000000000000e+02,2.356441887523845757e+00
2.430000000000000000e+02,2.356770947896719814e+00
2.530000000000000000e+02,2.356492899546509534e+00
