Temperature (K), initial FWHM (eV), FWHM (eV)
8.300000000000000000e+01,2.827986571095397750e-02,2.849458090883039141e-02
9.300000000000000000e+01,2.838793970605202333e-02,2.822176362303152608e-02
1.030000000000000000e+02,2.858274159266160908e-02,2.834932241954057908e-02
1.130000000000000000e+02,2.903867181117547602e-02,2.877199772146687984e-02
1.230000000000000000e+02,2.967563087694191637e-02,2.941839287930125835e-02
1.330000000000000000e+02,3.024932169715066621e-02,3.023839016569507265e-02
1.430000000000000000e+02,3.102555980370347299e-02,3.119578302568259964e-02
1.530000000000000000e+02,3.199713976571016971e-02,3.226376791194307536e-02
1.630000000000000000e+02,3.332019575086198060e-02,3.342208083052145007e-02
1.730000000000000000e+02,3.413601349162309617e-02,3.465511929850428885e-02
1.830000000000000000e+02,3.559401047882726488e-02,3.595067585363120877e-02
1.930000000000000000e+02,3.676394809476812853e-02,3.729906290847173622e-02
2.030000000000000000e+02,3.841641347151014685e-02,3.869249486936254812e-02
2.130000000000000000e+02,3.981252436622284563e-02,4.012464345990407466e-02
2.230000000000000000e+02,4.227917947592096937e-02,4.159031216226782846e-02
2.330000000000000000e+02,4.423148214437766512e-02,4.308519415841738365e-02
2.430000000000000000e+02,4.559246164147712221e-02,4.460568982099522017e-02
2.530000000000000000e+02,4.708749127952227553e-02,4.614876734234485411e-02
2.630000000000000000e+02,4.743767032264623040e-02,4.771185506147856970e-02
2.730000000000000000e+02,4.924817766729638890e-02,4.929275738829108633e-02
2.830000000000000000e+02,5.089464183008818310e-02,5.088958850620350916e-02
2.930000000000000000e+02,5.169783331498134515e-02,5.250071961797120323e-02
2.980000000000000000e+02,5.301852928029315848e-02,5.331119835919517769e-02
